for the against side to against,for the for side to for,from the against side to for,from the against side to undecided,from the for side to against,from the for side to undecided,from undecided to against,from undecided to for,post-debate-against,post-debate-for,post-debate-undecided,pre-debate-against,pre-debate-for,pre-debate-undecided,undecided to undecided,url,winner
9,44,4,0,23,5,11,4,43,52,5,13,72,15,0,https://www.intelligencesquaredus.org/debates/gerrymandering-destroying-political-center,against
26,20,1,0,40,2,7,4,73,26,2,27,62,11,0,https://www.intelligencesquaredus.org/debates/give-undocumented-immigrants-path-citizenship,against
19,47,7,0,4,6,4,10,28,65,7,26,57,16,1,https://www.intelligencesquaredus.org/debates/blame-big-pharma-out-control-health-care-costs,for
6,63,0,6,3,0,3,16,13,78,9,13,66,22,3,https://www.intelligencesquaredus.org/debates/first-presidential-debate,for
11,53,10,5,2,1,3,11,17,75,8,27,56,17,2,https://www.intelligencesquaredus.org/debates/blame-elites-trump-phenomenon,for
38,28,19,0,3,0,6,7,46,54,0,57,31,13,0,https://www.intelligencesquaredus.org/debates/climate-change-epa-has-gone-overboard,for
34,31,3,3,17,0,10,0,62,34,3,41,48,10,0,https://www.intelligencesquaredus.org/debates/president-has-usurped-constitutional-power-congress,against
30,20,2,0,38,0,5,2,73,23,3,32,58,10,3,https://www.intelligencesquaredus.org/debates/hunters-conserve-wildlife,against
12,35,0,6,18,6,6,18,35,53,12,18,59,24,0,https://www.intelligencesquaredus.org/debates/eliminate-corporate-subsidies,against
17,45,30,0,0,3,1,3,19,78,3,48,48,4,0,https://www.intelligencesquaredus.org/debates/artificial-intelligence-risks-could-outweigh-rewards,for
3,61,13,2,1,1,3,15,8,89,3,18,63,18,0,https://www.intelligencesquaredus.org/debates/free-speech-threatened-campus,for
32,17,3,0,34,2,8,2,75,22,3,36,53,12,2,https://www.intelligencesquaredus.org/debates/lifespans-are-long-enough,against
19,50,15,4,0,2,4,2,23,67,10,38,52,10,4,https://www.intelligencesquaredus.org/debates/us-should-let-100000-syrian-refugees,for
10,15,2,0,53,3,12,3,75,20,5,12,71,17,2,https://www.intelligencesquaredus.org/debates/equal-protection-clause-forbids-racial-preferences-state-university-admissions,against
54,31,0,0,0,0,8,0,62,31,8,54,31,15,8,https://www.intelligencesquaredus.org/debates/central-banks-can-print-prosperity,against
0,46,23,0,0,0,23,0,23,69,8,23,46,31,8,https://www.intelligencesquaredus.org/debates/us-prosecutors-have-too-much-power,for
44,4,4,4,27,0,13,2,83,10,6,52,31,17,2,https://www.intelligencesquaredus.org/debates/college-students-should-be-allowed-take-smart-drugs,against
17,58,17,0,0,0,0,0,17,75,8,33,58,8,8,https://www.intelligencesquaredus.org/debates/raise-federal-gas-tax-fund-infrastructure,for
24,12,0,0,29,6,18,0,71,12,18,24,47,29,12,https://www.intelligencesquaredus.org/debates/china-and-us-are-long-term-enemies,against
0,70,26,0,0,0,4,0,4,96,0,26,70,4,0,https://www.intelligencesquaredus.org/debates/courts-not-campuses-should-decide-sexual-assault-cases,for
11,56,0,0,11,0,0,22,22,78,0,11,67,22,0,https://www.intelligencesquaredus.org/debates/containment-not-enough-isis-must-be-defeated,for
17,50,0,0,0,0,17,17,33,67,0,17,50,33,0,https://www.intelligencesquaredus.org/debates/equal-protection-clause-does-not-require-states-license-same-sex-marriages,for
20,60,20,0,0,0,0,0,20,80,0,40,60,0,0,https://www.intelligencesquaredus.org/debates/obamas-iran-deal-good-america,for
8,52,25,3,2,0,3,7,13,83,3,37,53,10,0,https://www.intelligencesquaredus.org/debates/smart-technology-making-us-dumb,for
3,51,38,0,0,0,0,8,3,97,0,41,51,8,0,https://www.intelligencesquaredus.org/debates/abolish-death-penalty,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/president-has-exceeded-his-constitutional-authority-waging-war-without-congressional,undecided
42,17,0,0,25,0,17,0,83,17,0,42,42,17,0,https://www.intelligencesquaredus.org/debates/us-should-adopt-right-be-forgotten-online,against
3,69,14,0,0,0,3,11,6,94,0,17,69,14,0,https://www.intelligencesquaredus.org/debates/liberals-are-stifling-intellectual-diversity-campus,for
6,56,13,13,6,0,0,6,13,75,13,31,63,6,0,https://www.intelligencesquaredus.org/debates/declinists-be-damned-bet-america,for
11,22,33,0,0,0,0,33,11,89,0,44,22,33,0,https://www.intelligencesquaredus.org/debates/amazon-readers-friend,for
3,69,15,1,0,1,0,9,3,94,3,20,70,10,1,https://www.intelligencesquaredus.org/debates/genetically-modify-food,for
17,8,0,0,69,0,6,0,91,8,1,17,76,7,1,https://www.intelligencesquaredus.org/debates/legalize-assisted-suicide,against
41,27,0,0,27,0,5,0,73,27,0,41,55,5,0,https://www.intelligencesquaredus.org/debates/income-inequality-impairs-american-dream-upward-mobility,against
33,0,0,0,11,0,44,0,89,0,11,33,11,56,11,https://www.intelligencesquaredus.org/debates/mass-collection-us-phone-records-violates-fourth-amendment,against
25,75,0,0,0,0,0,0,25,75,0,25,75,0,0,https://www.intelligencesquaredus.org/debates/flexing-americas-muscles-middle-east-will-make-things-worse,undecided
15,23,46,0,0,0,0,8,15,77,8,62,23,15,8,https://www.intelligencesquaredus.org/debates/embrace-common-core,for
63,13,0,0,0,0,0,25,63,38,0,63,13,25,0,https://www.intelligencesquaredus.org/debates/individuals-and-organizations-have-constitutional-right-unlimited-spending-their-own,for
53,12,1,0,27,1,4,2,84,15,1,54,40,6,0,https://www.intelligencesquaredus.org/debates/death-not-final,against
9,27,55,0,0,0,9,0,18,82,0,64,27,9,0,https://www.intelligencesquaredus.org/debates/millennials-dont-stand-chance,for
57,14,0,14,14,0,0,0,71,14,14,71,29,0,0,https://www.intelligencesquaredus.org/debates/more-clicks-fewer-bricks-lecture-hall-obsolete,undecided
0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,https://www.intelligencesquaredus.org/debates/russia-marginal-power,against
50,0,25,0,0,0,0,25,50,50,0,75,0,25,0,https://www.intelligencesquaredus.org/debates/president-has-constitutional-power-target-and-kill-us-citizens-abroad,for
0,56,34,0,0,0,0,9,0,100,0,34,56,9,0,https://www.intelligencesquaredus.org/debates/affirmative-action-campus-does-more-harm-good,for
7,71,7,0,0,0,0,14,7,93,0,14,71,14,0,https://www.intelligencesquaredus.org/debates/snowden-was-justified,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/obamacare-now-beyond-rescue,undecided
33,8,2,0,50,0,8,0,91,9,0,35,58,8,0,https://www.intelligencesquaredus.org/debates/dont-eat-anything-face,against
20,36,32,0,0,0,0,12,20,80,0,52,36,12,0,https://www.intelligencesquaredus.org/debates/spy-me-id-rather-be-safe,for
75,5,0,0,17,0,2,1,94,6,0,75,22,2,0,https://www.intelligencesquaredus.org/debates/constitutional-right-bear-arms-has-outlived-its-usefulness,against
0,50,0,0,50,0,0,0,50,50,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/let-anyone-take-job-anywhere,against
22,33,22,0,0,0,0,22,22,78,0,44,33,22,0,https://www.intelligencesquaredus.org/debates/better-future-live-red-state,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/break-big-banks,undecided
0,50,0,0,0,0,50,0,50,50,0,0,50,50,0,https://www.intelligencesquaredus.org/debates/us-drone-program-fatally-flawed,against
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/us-has-no-dog-fight-syria,undecided
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/cutting-pentagons-budget-gift-our-enemies,undecided
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/fdas-caution-hazardous-our-health,undecided
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/gop-must-seize-center-or-die,undecided
23,12,2,0,44,2,12,5,79,19,2,26,58,16,0,https://www.intelligencesquaredus.org/debates/abolish-minimum-wage,against
0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,https://www.intelligencesquaredus.org/debates/america-doesnt-need-strong-dollar-policy,against
52,0,0,0,38,0,8,0,98,0,2,52,38,10,2,https://www.intelligencesquaredus.org/debates/prohibit-genetically-engineered-babies,against
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/israel-can-live-nuclear-iran,undecided
38,14,3,1,28,0,10,4,75,22,3,42,42,16,1,https://www.intelligencesquaredus.org/debates/science-refutes-god,against
19,11,0,0,60,0,8,2,87,13,0,19,71,10,0,https://www.intelligencesquaredus.org/debates/legalize-drugs,against
75,25,0,0,0,0,0,0,75,25,0,75,25,0,0,https://www.intelligencesquaredus.org/debates/rich-are-taxed-enough,undecided
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/ration-end-life-care,undecided
33,0,0,0,33,0,33,0,100,0,0,33,33,33,0,https://www.intelligencesquaredus.org/debates/better-elected-islamists-dictators,against
50,0,50,0,0,0,0,0,50,50,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/two-cheers-super-pacs-money-politics-still-overregulated,for
55,36,0,0,9,0,0,0,64,36,0,55,45,0,0,https://www.intelligencesquaredus.org/debates/no-fracking-way-natural-gas-boom-doing-more-harm-good,against
12,29,49,0,0,2,0,6,12,84,4,61,31,8,2,https://www.intelligencesquaredus.org/debates/ban-college-football,for
17,50,0,17,17,0,0,0,33,50,17,33,67,0,0,https://www.intelligencesquaredus.org/debates/when-it-comes-politics-internet-closing-our-minds,undecided
0,50,29,0,7,0,0,14,7,93,0,29,57,14,0,https://www.intelligencesquaredus.org/debates/obesity-governments-business,for
0,33,0,0,33,0,33,0,67,33,0,0,67,33,0,https://www.intelligencesquaredus.org/debates/un-should-admit-palestine-full-member-state,against
7,58,18,0,2,2,0,11,9,87,4,24,62,13,2,https://www.intelligencesquaredus.org/debates/world-would-be-better-without-religion,for
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/congress-should-pass-obamas-jobs-plan-piece-piece,undecided
9,43,30,0,0,0,0,17,9,91,0,39,43,17,0,https://www.intelligencesquaredus.org/debates/too-many-kids-go-college,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/grandmas-benefits-imperil-juniors-future,undecided
6,36,39,0,3,0,3,14,11,89,0,44,39,17,0,https://www.intelligencesquaredus.org/debates/men-are-finished,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/its-time-end-war-terror,undecided
0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/freedom-press-does-not-extend-state-secrets,against
33,0,0,0,33,33,0,0,67,0,33,33,67,0,0,https://www.intelligencesquaredus.org/debates/clean-energy-can-drive-americas-economic-recovery,against
50,50,0,0,0,0,0,0,50,50,0,50,50,0,0,https://www.intelligencesquaredus.org/debates/dont-give-us-your-tired-your-poor-your-huddled-masses,undecided
0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,https://www.intelligencesquaredus.org/debates/its-time-clip-americas-global-wings,against
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/china-does-capitalism-better-america,undecided
0,70,20,0,0,0,0,10,0,100,0,20,70,10,0,https://www.intelligencesquaredus.org/debates/two-party-system-making-america-ungovernable,for
33,0,0,0,0,0,33,0,67,0,33,33,0,67,33,https://www.intelligencesquaredus.org/debates/repeal-obamacare,against
33,67,0,0,0,0,0,0,33,67,0,33,67,0,0,https://www.intelligencesquaredus.org/debates/us-airports-should-use-racial-and-religious-profiling,undecided
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/afghanistan-lost-cause,undecided
58,1,0,0,27,0,13,0,97,1,1,58,28,14,1,https://www.intelligencesquaredus.org/debates/islam-religion-peace,against
0,83,0,0,0,0,0,17,0,100,0,0,83,17,0,https://www.intelligencesquaredus.org/debates/treat-terrorists-enemy-combatants-not-criminals,for
50,50,0,0,0,0,0,0,50,50,0,50,50,0,0,https://www.intelligencesquaredus.org/debates/cyber-war-threat-has-been-grossly-exaggerated,undecided
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/obamas-foreign-policy-spells-americas-decline,undecided
44,0,0,0,44,0,0,0,89,0,11,44,44,11,11,https://www.intelligencesquaredus.org/debates/organic-food-marketing-hype,against
50,0,0,0,0,0,0,0,50,0,50,50,0,50,50,https://www.intelligencesquaredus.org/debates/dont-blame-teachers-unions-our-failing-schools,undecided
20,60,20,0,0,0,0,0,20,80,0,40,60,0,0,https://www.intelligencesquaredus.org/debates/us-should-step-back-its-special-relationship-israel,for
0,50,50,0,0,0,0,0,0,100,0,50,50,0,0,https://www.intelligencesquaredus.org/debates/california-first-failed-state,for
0,0,0,10,0,67,0,0,0,0,100,10,67,24,24,https://www.intelligencesquaredus.org/debates/america-blame-mexicos-drug-war,undecided
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/obamas-economic-policies-are-working-effectively,undecided
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/good-riddance-mainstream-media,undecided
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/america-cannot-and-will-not-succeed-afghanistanpakistan,undecided
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/buy-americanhire-american-policies-will-backfire,undecided
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/diplomacy-iran-going-nowhere,undecided
33,11,44,0,0,0,0,11,33,67,0,78,11,11,0,https://www.intelligencesquaredus.org/debates/its-wrong-pay-sex,for
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/blame-washington-more-wall-street-financial-crisis,undecided
0,50,0,0,0,0,0,50,0,100,0,0,50,50,0,https://www.intelligencesquaredus.org/debates/art-market-less-ethical-stock-market,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/major-reductions-carbon-emissions-are-not-worth-money,undecided
0,88,0,0,0,0,13,0,13,88,0,0,88,13,0,https://www.intelligencesquaredus.org/debates/bush-43-worst-president-last-50-years,against
50,50,0,0,0,0,0,0,50,50,0,50,50,0,0,https://www.intelligencesquaredus.org/debates/google-violates-its-dont-be-evil-motto,undecided
33,0,33,0,0,0,0,33,33,67,0,67,0,33,0,https://www.intelligencesquaredus.org/debates/guns-reduce-crime,for
33,0,33,0,0,0,33,0,67,33,0,67,0,33,0,https://www.intelligencesquaredus.org/debates/america-finally-winning-war-iraq,for
10,60,10,0,0,0,0,20,10,90,0,20,60,20,0,https://www.intelligencesquaredus.org/debates/universal-health-coverage-should-be-federal-governments-responsibility,for
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/we-should-legalize-market-human-organs,undecided
33,67,0,0,0,0,0,0,33,67,0,33,67,0,0,https://www.intelligencesquaredus.org/debates/islam-dominated-radicals,undecided
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/tough-interrogation-terror-suspects-necessary,undecided
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/america-should-be-worlds-policeman,undecided
0,12,0,40,4,32,0,12,4,24,72,40,48,12,0,https://www.intelligencesquaredus.org/debates/we-should-accept-performance-enhancing-drugs-competitive-sports,undecided
0,23,54,0,0,0,0,15,0,92,8,54,23,23,8,https://www.intelligencesquaredus.org/debates/aid-africa-doing-more-harm-good,for
0,80,0,0,0,0,0,20,0,100,0,0,80,20,0,https://www.intelligencesquaredus.org/debates/its-time-end-affirmative-action,for
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/russia-becoming-our-enemy-again,undecided
0,72,26,0,0,0,0,2,0,100,0,26,72,2,0,https://www.intelligencesquaredus.org/debates/lets-stop-welcoming-undocumented-immigrants,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/big-government-stifling-american-spirit,undecided
0,67,0,0,0,0,0,33,0,100,0,0,67,33,0,https://www.intelligencesquaredus.org/debates/spreading-democracy-middle-east-bad-idea,for
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/beware-dragon-booming-china-spells-trouble-america,undecided
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/better-more-domestic-surveillance-another-911,undecided
3,47,37,0,0,0,0,13,3,97,0,40,47,13,0,https://www.intelligencesquaredus.org/debates/global-warming-not-crisis,for
0,79,21,0,0,0,0,0,0,100,0,21,79,0,0,https://www.intelligencesquaredus.org/debates/america-too-damn-religious,for
33,0,0,0,0,0,33,33,67,33,0,33,0,67,0,https://www.intelligencesquaredus.org/debates/hollywood-has-fueled-anti-americanism-abroad,against
0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,https://www.intelligencesquaredus.org/debates/democratically-elected-hamas-still-terrorist-organization,for
0,85,10,0,0,0,0,5,0,100,0,10,85,5,0,https://www.intelligencesquaredus.org/debates/freedom-expression-must-include-license-offend,for
33,0,0,0,33,0,0,33,67,33,0,33,33,33,0,https://www.intelligencesquaredus.org/debates/we-must-tolerate-nuclear-iran,against
