id,title,date,for,against,For_Main_Points,against_Main_Points
d20190304,Constitutional Free Speech Principles Can Save Social Media Companies from Themselves,2019-03-04,"['David French', 'Corynne McSherry']","['Nathaniel Persily', 'Marietje Schaake']","['The First Amendment is content-neutral and provides a nonpolitical framework for regulating speech. It would behoove social media companies to abide by it.', 'Rather than resort to censorship, social media companies can offer users tools that block unwanted content, including content that could be hurtful or offensive.', 'Facebook, Twitter, and other social media platforms have become the new public square. Rather than resorting to corporate speech policies, these companies should promote free speech principles in the U.S. and abroad.']","['Social media companies are global. The U.S. Constitution is based on American values and, therefore, should not be used to regulate international platforms.', 'The spread of hateful digital content dilutes meaningful discourse and, in some cases, causes emotional and physical harm. Social media companies have a duty to offer safe, welcoming platforms for users.', 'From election interference to “fake news,” nefarious actors are using social media to undermine democracies and deepen partisan divides. Social media companies must act to prevent this type of conduct.']"
d20190225,Unresolved: The Techonomic Cold War With China,2019-02-25,"['Ian Bremmer', 'Michèle Flournoy', 'Yasheng Huang ']","['Parag Khanna', 'Susan Thornton']",,
d20190211,IBM Project Debater,2019-02-11,['IBM Project Debater'],['Harish Natarajan'],,
d20190131,Don't Bring Extinct Creatures Back to Life,2019-01-31,"['Dr. Ross MacPhee', 'Dr. Lynn J. Rothschild']","['Stewart Brand', 'Dr. George Church']","['The risks of reintroducing lost creatures –including unknown ancient pathogens, disruptions in ecosystems, and geopolitical conflict – outweigh the potential benefits to climate change.', 'The use of CRISPR gene-editing technology to recreate extinct creatures, or using live animals as surrogates, represents a radical departure from traditional conservation practices.', 'It is unethical to bring back extinct animals when their ecosystem no longer exists. Further, skeptics allege de-extinction poses a moral hazard that trivializes death and allows humans to “play God.”']","['Reintroducing megafauna, such as the woolly mammoth, could help reduce the impact of climate change in regions like the Arctic and rebuild the biodiversity that humans have destroyed.', 'De-extinction is the next logical step in conservation science; humans have been engaging in the evolutionary process for millennia.', 'Humans are largely responsible for recent animal extinctions and, as stewards of the Earth, have a moral responsibility to bring back what was lost.']"
d20190116,"Ten Years After the Global Financial Crisis, the System Is Safer",2019-01-16,"['Jason Furman ', 'Neel Kashkari']","['Kenneth Rogoff', 'Gillian Tett']","['Since the Great Recession, the capital position of banks has largely improved. And with reforms like the Dodd-Frank Act, the United States now has ways to identify and hold accountable institutions, improving financial stability and consumer protection.', 'Outside of the U.S., countries have also taken steps to shore up their banking systems: The European Union’s Single Supervisory Mechanism gives the European Central Bank authority to monitor, test, and intervene in financial institutions.', 'While some may be alarmed about increasing debt, others see systemic ways to address it.The institutions that hold debt are more diversified than they were in 2008, and though the deficit in the U.S. is high, some say it doesn’t pose a problem to the global financial system.']","['Some argue that the post-financial crisis reforms are heavy-handed and burdensome. And in the wake of another crisis, they say, it narrows the Federal Reserve System’s emergency lending authority and exposes the lending to a higher threshold of scrutiny.', 'Europe has not done enough to ward off another financial meltdown, and the Single Supervisory Mechanism will not be able to monitor thousands of banks. Further, inter-Europe geopolitical, social, and economic issues – like Italy’s debt crisis – could trigger another financial crisis.', 'Many economists say debt could pose a serious threat to the financial system: U.S. national debt is over $21 trillion, and there are piles of risky corporate debt – totaling $6.3 trillion – which could lead to defaults and another financial crisis.']"
d20181111,Silicon Valley Has Lost Its Soul,2018-11-11,"['Noam Cohen', 'Dipayan Ghosh']","['Leslie Berlin', 'Joshua McKenty']","['Rather than living up tothe innovation-inspired idealismthat SiliconValley was founded on, tech companies have put profit over people.Engineers design intrusive products intended to capture our attention and our private data.In some cases, people havebecomethe product, in a way that would have been impossible to predict andthat constitutes unique harm.', 'Silicon Valley promised a digital revolution that would empower and connect people around the world. Instead, tech companies have created platforms that disseminate hate speech, foster divisions, and threaten to undermine democratic institutions.', 'From diversity issues to sexual harassment to political bias, Silicon Valley’s culture has come under fire. Beyond creating toxic workplaces, these biases are manifesting in the algorithms and products tech companies produce and are negatively impacting people around the world.']","['For the tech industry – like most industries before it –making money is a key goal. Because of the excitement around innovation and the outsized role major tech companies play in our everyday lives, these companies have been unfairly maligned for practices that are typical in a capitalist society.', 'Silicon Valley has revolutionized the way we work, sell, buy, and communicate with others. Innovative and disruptive tech pioneers are giving people around the world access to a global exchange of goods and ideas, often for free.', 'Silicon Valley is tackling some of today’s toughest social and political challenges head-on. Byempowering employees to speak out and disseminating tools to fight injustices around the world,the tech industry is evolving to bemore socially conscious than ever before.']"
d20181101,Trump Is Bad for Comedy,2018-11-01,"[""P.J. O'Rourke"", 'Sara Schaefer']","['Kurt Andersen', 'Billy Kimball']","['In an era often deemed “post-truth,” reality has become distorted and headlines can range from the unusual to the absurd. For many comedians, it has become increasingly difficult to create smart, original comedy that parodies news already beyond the norm.', 'In the current polarized climate, many comics argue that their audiences are anxious and tense. And beyond that, some comedians – many of them women – have been targeted and threatened, eliciting fear that could stifle creative comedy.', 'Some argue that while Trump might inspire good comedy, the cost may be too high.The effects of persistent hurtful rhetoric and the marginalization of minority groups are issues too serious to laugh about, they say.']","['Trump may be a polarizing figure to some, but that doesn’t mean he isn’t inspiring great political comedy. Comedians are working harder to create hard-hitting entertainment, and shows like “Saturday Night Live” are seeing their best ratings in decades.', 'Humor can be a powerful tool, one that can unite people in divisive times. And with many getting their news from late-night hosts like Stephen Colbert and Jimmy Kimmel, more people are brought into the fold and connected by comedy.', 'Comedians could influence America during this seemingly turbulent time. Whether it’s awakening people to injustices, rallying others to vote, or advocating for or against a policy, people might listen if it’s comically made.']"
d20181011,Progressive Populism Will Save the Democratic Party,2018-10-11,"['Karine Jean-Pierre', 'Jeff Weaver']","['Jonathan Cowan', 'Steven Rattner']","['Rising stars on the progressive left like Bernie Sanders and Alexandria Ocasio-Cortez are gaining momentum among those who feel left behind in the 21st-century economy. Their economic message could win over swing-state voters – including some Trump voters – for the Democrats.', 'As Americans adapt to a new economy, progressive populists argue that policies likeMedicare for all, free public college tuition, and a federal jobs programwill finally bridge the ever-widening inequality gap in our nation.', 'Following huge Democratic losses in 2016, progressives promise to shake-up the party by replacing establishment Democrats who, they argue, are out of touch with both their constituents and the values that have long fueled Democratic movements in the past.']","['Rather than moving to the far left, centrists argue, the Democratic Party should promote experienced, center-left candidates who have the knowledge and political capital to win back working-class voters in the Midwest and beyond.', 'Policies like Medicare for all, free public college, and a federal jobs program come with an exorbitant price tag. Rather than promising sweeping overhauls, centrists say, Democrats should create real opportunities for Americans by promoting pragmatic – and viable – economic policies.', 'Progressive populists, though dominating the headlines, have not yet proven their electoral viability. Centrists argue that rather than spark a nation-wide progressive wave, some of these candidates will win in already-blue districts, oust experienced Democrats, and fracture the party further.']"
d20180926,Retail Alliances – Not Washington – Will Save the U.S. Health Care System,2018-09-26,"['Dr. Rajaie Batniji', 'W. Gregg Slager']","['Dr. Lisa Bielamowicz', 'Rosemarie Day']","['When it comes to ensuring access to high-quality, affordable heath care in America, critics say that Washington has fallen short. Innovative and data-competent retail alliances couldleverage competencies to overhaul and streamline this fractured system.', 'By pushing out unnecessary middlemen, ending secret pricing negotiations, and disclosing real pharmaceutical costs, employer-led initiatives, including those with retail partners, may be poised to lower costs and improve outcomes in certain sectors.', 'Rather than relying on inefficient patient-focused or fee-for-service models, retail-affiliated ventures introduce a consumer-focused approach that could make health care more convenient, accessible, and affordable.']","['Critics say that emerging retail alliances lack the institutional knowledge to truly transform the United States’ complex and deeply fragmented health care system. Real change to the system requires both insight and support from experts and lawmakers in Washington.', 'Retailers and employers are typicallyin the for-profit business. And eventually, they could focus more on advancing their bottom line – possibly at the expense of affordable and quality health care for consumers and employees.', 'In trying to disrupt the U.S. health care system, retailers won’t just push out pharmacy benefit managers and health care consultants. As patients start treating medical procedures like shopping at the mall, they could also put family doctors and hospitals out of business.']"
d20180920,Unresolved: U.S. National Security,2018-09-20,"['Derek Chollet', 'Stephen F. Cohen', 'Reuel Marc Gerecht']","['John J. Mearsheimer', 'Kori Schake']",,
d20180628,Globalization Has Undermined America's Working Class,2018-06-28,"['Thea Lee', 'Jared Bernstein']","['Jason Furman ', 'James Manyika']","['From manufacturing to retail, increasing globalization over the past few decades has eroded the power of unions and driven down wages for American workers.', 'Globalization has lowered the price of certain goods, but this does not make up for decades of job loss among the U.S. working class due to corporate greed, offshoring, and outsourcing.', 'Trade agreements may benefit multinational corporations and the people who head them, but the American working class is often adversely affected: job loss becomes more common as trade deficits grow.']","['Globalization has ushered in an era of unprecedented wealth, lifting millions of people around the world out of poverty. Although some jobs have been lost along the way, the benefits largely outweigh the costs.', 'Globalization has significantly driven down the price of goods in stores like Walmart, K-Mart, and Target, making life easier and more affordable for the U.S. working class.', 'Trade agreements like Nafta encourage investment and lead to substantial economic growth, benefiting the U.S. economy on the whole and enabling social and economic mobility.']"
d20180626,Social Media Is Good for Democracy,2018-06-26,"['Jeff Jarvis', 'Emily Parker']","['Franklin Foer', 'Roger McNamee']","['From Black Lives Matter and the Women’s March to local and national political campaigns, social media is the driving force behind political organizing today and thus serves as a buttress for modern democracy.', 'Platforms like Twitter, Facebook, and YouTube democratize information by allowing all citizens an unprecedented opportunity to have their voices heard and to hold the powerful accountable, free from censorship by government or traditional media gatekeepers.', 'Propaganda, bullying, and harassment are hardly new phenomenons and are not unique to social media. These platforms should not be maligned for the bad behavior of some users.']","['Platforms like Twitter and Facebook have created a toxic online culture that degrades public discourse and promotes ideological echo chambers that increase partisanship and hostility between those with opposing political or social views.', 'Social media provides unprecedented opportunities for bad actors, including hostile foreign governments, to undermine democratic elections through propaganda and disinformation campaigns intended to undermine political candidates or faith in democratic institutions as a whole.', 'Whereas traditional media outlets have served as guardians of democracy by safeguarding fact and truth in public discourse, social media outlets allow for the widespread dissemination of false, divisive, and often destructive information.']"
d20180623,Trigger Warning: Safe Spaces Are Dangerous,2018-06-23,"['David L. Hudson Jr.', 'Suzanne Nossel']","['Ashutosh Bhagwat ', 'Michael S. Roth']","['By fostering a campus culture where some ideas are deemed “dangerous,” safe spaces restrict free speech and intellectual diversity by silencing those whose views are unpopular or don’t conform to the status quo.', 'Rather than promoting campus unity, safe spaces isolate like-minded students and divide campuses around issues of race, gender, and sexuality. Further, they prevent students from different cultural, economic, and intellectual backgrounds from coming together for productive and meaningful exchange of ideas.', 'Trigger warnings and safe spaces infantilize young adults, promote victimhood, and create a learning environment that deprives students of a complete, intellectually balanced education.']","['Safe spaces promote free speech and free expression. When students have access to supportive and empathetic communities on campus, they are empowered to speak up in class or in other intellectual forums.', 'Today’s student body is the most culturally and racially diverse in history. Safe spaces offer traditionally marginalized students an opportunity to learn without fear of hate speech, bigotry, racism, or other forms of hostility that too often prevent them from being fully immersed in the academic community.', 'Trigger warnings and safe spaces foster resilience in students. For victims of PTSD, assault, and other forms of violence, these tools allow them to engage with potentially troubling content in ways that are healthy and productive.']"
d20180514,Automation Will Crash Democracy,2018-05-14,"['Ian Bremmer', 'Yascha Mounk']","['Andrew Keen', 'Alina Polyakova']","['The “us versus them” populism sweeping the Western world today is fueled by technological advancement: As low- and middle-skilled workers continue to lose jobs to automation, anger will manifest, leaving many concerned that democracy is no longer working in their favor.', 'The promise of high-paying jobs in the era of automation is a pipe dream. Many who lose their jobs won’t have access to the training needed for the sophisticated jobs of the future. This will further widen wealth inequality and exacerbate the divide between globalization’s winners and losers.', 'Anti-democratic leaders promising to bring back jobs from immigrants and robots will continue to get elected over status quo candidates, further eroding democratic institutions and empowering the rise of authoritarian societies.']","['Automation won’t mean the end of work, just as the advent of steam power, electricity, and computers didn’t mean the end of work. Through regulation, taxation, and innovative solutions like UBI, society can adapt to new technologies and assuage populist discontents.', 'While automation will displace some workers, this won’t affect the total number of available jobs: As technology continues to advance, newer higher-paying jobs will evolve, employing more people and making the “us versus them” message less appealing.', 'Robots and other technological advances could save the global economy. As the global population ages and birth rates decline, automation can help reshape the future of work, filling demographic-driven job vacancies and staving off a labor shortage that could lead to democratic instability.']"
d20180502,Negotiations Can Denuclearize North Korea,2018-05-02,"['Suzanne DiMaggio', 'Bonnie Jenkins']","['Sue Mi Terry', 'Mira Rapp-Hooper']","['North Korea’s nuclear capabilities are rapidly advancing. Kim Jong-un has repeatedly threatened to hit the homeland and his recent missile tests show that he has the capacity to reach the U.S. Allowing the DPRK’s program to go any further could set a dangerous precedent on the world stage and empower nefarious actors to go nuclear.', 'Sanctions are causing serious economic pain in North Korea: Oil imports and coal exports are plummeting and commodity prices are spiking. Given Trump’s recent announcement of newer, harsher sanctions, the U.S. is close to imposing an economic blockade on the North. Kim may be more willing to acquiesce to American demands.', 'The Iran nuclear deal proves that rogue regimes can be brought to the table. If the Trump administration successfully rallies the global community, Kim Jong-un could be compelled to halt his nation’s dangerous nuclear ambitions.']","['From lies about enriching uranium to repeated violations of international law, North Korea has proven itself to be reliably unreliable. Even if Kim agrees to the Trump’s terms, it would be nearly impossible for the U.S. to verify the “Hermit Kingdom’s” compliance. If past is precedent, Kim will use his country’s isolated status to his advantage by agreeing to denuclearize in order to loosen sanctions, only to renege later.', 'Pyongyang has a long history of prioritizing its nuclear program over the basic needs of its people. Kim will continue to blame Washington for North Korea’s economic woes, providing further justification for his claim that the DPRK needs a strong nuclear arsenal to stave off Western aggression.', 'For Kim, a nuclear deterrent is an insurance policy for regime preservation. And when it comes to denuclearization, there is a mismatch in terminology. Kim will likely demand that the U.S. remove its troops from South Korea and pull back the nuclear umbrella over its East Asian allies – concessions that are at odds with America’s strategic goals and would damage long-standing alliances in the region.']"
d20180421,Bitcoin Is More Than a Bubble and Here to Stay,2018-04-21,"['Patrick Byrne', 'Tim Draper']","['Eric Posner', 'Gillian Tett']","['Bitcoin is going mainstream. The Cboe and CME recently debuted Bitcoin futures, and Wall Street giant Goldman Sachs has announced plans to launch a desk to trade bitcoin and other cryptocurrencies.', 'By placing control in the hands of users – not nations – Bitcoin promises to revolutionize global finance. This decentralized currency is free from government oversight, and thus not liable to the types of political and corporate corruption rampant in traditional fiat currencies.', 'Bitcoin is a force for good. The currency without a nation allows users to send money to friends and family across international borders instantly without paying high fees, which directly advantages low-income immigrants.', 'For those living in unstable and unpredictable economies, including Venezuela and Argentina, investing in bitcoin offers an unprecedented opportunity to safeguard assets against rampant inflation, regulatory uncertainty, and political unrest.']","['Bitcoin is a bubble. The cryptocurrency is extremely volatile and, though its creator set limits on its manufacturing, others could easily create bitcoin substitutes that drive down its value and render the cryptocurrency obsolete.', 'The American dollar is backed by the full faith and credit of the U.S. government. By comparison, bitcoin was created by a man who can’t be identified and is monitored by a network of users who remain anonymous. Consumers are unlikely to adopt the cryptocurrency in the numbers necessary for it to truly challenge fiat currencies in the global market.', 'Bitcoin serves as a conduit to crime. Free from government oversight, bitcoin has been used to slight international sanctions and move funds to criminal groups including terrorists, drug dealers, and human traffickers.', 'Trust in bitcoin’s benevolence is misguided. Unlike central governments and established global institutions, bitcoin creators and users face few consequences should they choose to destroy or devalue the cryptocurrency for personal gain.']"
d20180417,Preserve Net Neutrality: All Data is Created Equal,2018-04-17,"['Mitchell Baker', 'Tom Wheeler']","['Nick Gillespie', 'Michael Katz']","['Americans rely on the internet to learn, work, and play. It must be protected, and regulated, as a modern-day public utility.', 'Net neutrality is essential to a free and open internet. By preventing service providers from blocking content and mandating that all data must be treated equally, these regulations keep the web free from digital gatekeepers and promote a true exchange of ideas online.', 'Without net neutrality rules, major companies like Verizon, Comcast, and AT&T could implement policies that favor their own companies over competitors, and disadvantage startups and small organizations that don’t have the means to compete for access to internet users.', 'Net neutrality benefits consumers. By prohibiting “pay-to-play” pricing structures that require consumers to pay more for premium services like audio and video streaming, net neutrality ensures content on the web is equally accessible to all, not only to those who can afford it.']","['In 2015, the FCC set out to solve a problem that didn’t exist. The internet hadn’t been corrupted by nefarious forces or restricted to only those willing to pay high fees. These Obama-era net neutrality regulations represent little more than unnecessary government overreach.', 'Internet service providers are not a threat to democracy. Before the 2015 regulations took effect, consumers were able to access content and ideas online without fear of digital gatekeepers. Market demand is a better assurance the web will remain open and democratic than politically motivated government regulators.', 'Net neutrality regulations are bad for business. By limiting potential revenue streams, these rules deter internet service providers from investing in broadband networks and working to bring high-quality, affordable internet access to consumers around the nation.', 'Not all data is created equal. Net neutrality regulations, which limit the types of services available to consumers, drive up the cost of internet access for consumers around the nation and deprive rural and low-income communities of connectivity options that would best suit their needs.']"
d20180327,"The More We Evolve, The Less We Need God",2018-03-27,"['Heather Berlin', 'Michael Shermer']","['Dr. Deepak Chopra', 'Dr. Anoop Kumar']","['Humans no longer need God to explain the unknown. Rather than turning to faith or religious tradition, modern society should rely on scientific and reasoned inquiry to address today’s challenges and questions.', 'Morality is independent of God. From the oppression of women and LGBT people to the institution of slavery and genocide, religious groups have used faith to justify society’s worst practices.', 'Belief in God stifles modernization: Studies show that intensely religious countries are less innovative and produce less patents than those that aren’t. It is science, rather, that has been at the heart of innovation and discovery.']","['According to NASA, only 4 percent of the universe is known matter; the rest remains largely a mystery. Science alone cannot illuminate or explain this large gap.', 'Scientific progress requires God. The creators of today’s most powerful innovations – from nuclear arms to gene editing technologies – require an awareness of consciousness, and must be guided by a belief in a common good to ensure these technologies don’t destroy society as a whole.', 'The secularization thesis is a myth: A new study by Pew Research Center shows that the world’s Christian and Muslim populations are continuing to grow – even if younger generations don’t attend church.']"
d20180309,Humanitarian Intervention Does More Harm Than Good,2018-03-09,"['Frank Ledwidge', 'Rajan Menon']","['Bernard Kouchner', 'Kori Schake']","['Despite good intentions, humanitarian intervention invariably leads to instability, occupation, and the death of innocent civilians.', 'State sovereignty must be respected on the world stage. Unless acting in self-defense or facing an imminent threat, nations have no right to use military force against another state.', 'The U.S. election and Brexit made Western opinion clear: civilians are fed up with spending money in foreign conflicts. It’s time for wealthy nations to turn inward and deal with problems at home.']","['Wealthy nations have a moral obligation to prevent crimes against humanity wherever they may occur. Failure to intervene constitutes a failure to lead.', 'All U.N. member states have endorsed the Responsibility to Protect doctrine, a global political commitment to halt or prevent genocide and war crimes. These states have an obligation to uphold this promise.', 'Violent civil wars often have spillover effects, leading to regional instability that could threaten global security']"
